intent,jawaban
akreditasi_iso17025_kan,"Ya. Kami telah terakreditasi oleh Komite Akreditasi Nasional (KAN) sebagai Laboratorium Kalibrasi dengan nomor akreditasi LK-494-IDN, sesuai standar SNI ISO/IEC 17025:2017."
alat_rusak_saat_pemeriksaan,"Jika alat ditemukan rusak atau tidak berfungsi sehingga tidak dapat dikalibrasi, teknisi kami akan menginformasikan kondisi tersebut kepada Anda beserta rekomendasi tindak lanjutnya. Silakan konfirmasikan kebijakan lebih detail kepada admin kami."
alat_tidak_lulus_kalibrasi,"Ya, alat yang tidak memenuhi standar tetap akan dilaporkan secara resmi melalui format pelaporan hasil kalibrasi, agar Anda mengetahui kondisi sebenarnya dari alat tersebut. Silakan hubungi admin untuk detail lebih lanjut mengenai tindak lanjutnya."
apa_itu_saibara,"Saibara (Satu Aplikasi Inovatif Belanja Retribusi Daerah) adalah aplikasi resmi milik Pemerintah Provinsi Lampung yang dikelola oleh Badan Pendapatan Daerah (Bapenda) Provinsi Lampung, digunakan sebagai platform digital omnichannel untuk pembayaran dan pengelolaan retribusi daerah secara transparan dan terintegrasi, termasuk pembayaran biaya kalibrasi alat kesehatan di instansi kami."
arti_status_pengajuan,"Berikut penjelasan tiap status pada sistem kami:
1) Pengajuan: permohonan kalibrasi Anda baru diterima dan sedang ditinjau oleh admin (admin berhak menerima atau menolak pengajuan).
2) Penjadwalan: pengajuan Anda telah disetujui, admin menentukan jadwal serta lokasi pelaksanaan kalibrasi, apakah teknisi akan datang ke lokasi Anda (on-site) atau alat perlu dibawa ke laboratorium kami.
3) Kalibrasi: alat Anda sedang dalam proses kalibrasi.
4) Sertifikat: proses kalibrasi telah selesai dan sertifikat elektronik telah diunggah admin ke website, sehingga dapat Anda unduh sendiri.
5) Selesai: Anda telah mengambil sertifikat fisik (hardcopy) dan alat kesehatan yang telah dikalibrasi di kantor kami."
biaya_label_rusak,"Untuk informasi biaya penggantian label kalibrasi yang rusak, silakan hubungi admin kami."
biaya_mobilisasi_teknisi,"Belum. Sesuai keterangan pada daftar tarif kami, harga yang tertera BELUM termasuk biaya akomodasi tenaga teknis. Biaya akomodasi akan dihitung dan diinformasikan terpisah, khususnya untuk kalibrasi on-site di lokasi klien."
cara_bayar_saibara,"Untuk panduan langkah demi langkah melakukan pembayaran melalui Saibara, silakan hubungi admin kami atau ikuti instruksi yang akan diberikan pada saat status pengajuan Anda siap untuk pembayaran (setelah kalibrasi selesai)."
cara_hubungi_admin,Anda dapat menghubungi admin melalui WhatsApp (+62 812-9292-3438) dan fitur chat di website kami. Untuk link whatsapp dapat anda temui pada halaman kontak maupun footer web ini.
cek_riwayat_fasyankes_klien,"Instansi kami telah melayani kalibrasi untuk berbagai fasilitas pelayanan kesehatan (fasyankes) di Provinsi Lampung, meliputi rumah sakit, klinik, Puskesmas, balai pengobatan, dan fasilitas kesehatan lainnya. Berikut daftar fasyankes yang tercatat pernah menjadi klien kami: Klinik Darussyifa; Klinik Pribadi; Klinik Bverz; Klinik Skin Rachel; Klinik Skin Rachel Way Halim; Klinik Passai Kelas I Bandar Lampung; Klinik Dindah Jaya; Klinik Mutiara Hati; Klinik Kasih; Klinik Niramaya Medical Center; Klinik Choiriah; UPT Puskesmas Tanjung Agung; Klinik Citra; Klinik Anugrah Medika; Klinik Mutiara Ibu; Klinik Bunda Tika; Klinik Medistra Raya; UPTD Puskesmas Hajimena; Klinik Jasmine Medika; UPT Puskesmas Rawat Inap Banjar Agung; UPTD Puskesmas Rawat Jalan Way Urang; UPT Puskesmas Way Kandis; Puskesmas Natar; UPTD Puskesmas Karang Anyar; UPTD Puskesmas Rawat Inap Sukadamai; Klinik Pratama PT. Gula Putih Mataram; BP Lanal Lampung; UPTD Puskesmas Pagar Dewa; Klinik Pratama Jasa Medika; Klinik Pratama Bunda Dara Medika; UPTD Puskesmas Panggung Jaya; Klinik Menggala Medical Center; Klinik Nasheha; Klinik Rawat Inap Bunda Asih Medika; Klinik Pratama Raffasya Sentra Medika; Klinik Pratama Rawat Inap Ar-Raudah Medika; Klinik Panaragan Jaya Medika; Klinik Pratama Loka Husada; Klinik Pratama An-Nur Husada; Klinik Pratama Rawat Inap Ar-Rahman; Klinik Rawat Inap Asa Ibu Medika; Klinik Advent; Klinik Pratama Ardhito Medika; Klinik Pratama Rawat Inap As-Shoffa; Klinik Pratama Rawa Jitu Medika; Klinik Pratama Rawat Inap Selagai Medika; UPT Puskesmas Pinang Jaya; Rumah Sakit Ibu dan Anak Santa Ana; Klinik Imam Bonjol; Klinik Rawat Inap Aditya Putri; Klinik Utama Rawat Inap Munyai Medical Center; Klinik Sri Agung Medika; Klinik Cahaya Sehat; Rumah Sakit Mutiara Bunda; Klinik Ngudi Waluyo; Klinik Pratama Sejahtera Medical Center; Rumah Sakit Bintang Medika; UPT Puskesmas Rawat Inap Permata Sukarame; UPT Puskesmas Palapa; Klinik Restu; Klinik Pratama Wede Ar-Rachman; UPT Puskesmas Kebon Jahe; Klinik Pratama Indai Bunda; Klinik Utama Inara; UPT Puskesamas Sukabumi; UPT Puskesmas Korpri; Rumah Sakit Siti Khodijah; Klinik Pratama Nugraha Medika; Klinik Utama Rawat Inap 22 Medika; Klinik Rawat Inap Cendana; UPT Puskesmas Kupang Kota; Rumah Sakit Ibu dan Anak Restu Bunda; Klinik Lanud Pangeran M. Bun Yamin; Klinik Pratama Ella Lampung; Klinik Pratama BNN Provinsi Lampung; UPT Puskesmas Rawat Inap Way Laga; Rumah Sakit Umum Trijaya Medical Center; Biddokkes Polda Lampung; Klinik LBC; UPTD Puskesmas Tanjung Bintang; UPTD Puskesmas Rawat Inap Tanjung Sari; Klinik Surya Candi Medika; Klinik Lalita Bandar Lampung; Klinik BRIMedika Lampung; UPT Puskesmas Rawat Inap Kota Karang; Rumah Sunat Tubaba; UPT Puskesmas Rawat Inap Kemiling; UPT Puskesmas Rawat Inap Kedaton; UPT Puskesmas Rawat Inap Panjang; Klinik Kilau Dental Care; Klinik Pratama Rawat Inap Nugraha Medika; Klinik Pratama Rawat Inap Karunia Sehat; UPT Puskesmas Sumur Batu; UPT Puskesmas Rawat Inap Sukamaju; Klinik Puri Medika; UPT Puskesmas Segala Mider; Klinik Rawat Inap Permata Husada; Puskesmas Liwa; Puskesmas Krui; Puskesmas Mesuji. Jika nama fasyankes Anda tidak tercantum di atas, atau Anda memerlukan konfirmasi resmi mengenai riwayat kalibrasi, silakan hubungi admin kami langsung."
cek_status_pengajuan,"Anda dapat melihat status terkini pengajuan kalibrasi melalui fitur pemantauan (tracking) pada halaman Proses Kalibrasi di website kami, dengan login menggunakan akun Anda."
daftar_alat_dan_harga,Daftar lengkap alat kesehatan yang dapat dikalibrasi beserta rincian harganya dapat Anda lihat pada halaman Layanan di website kami.
dasar_hukum_tarif,"Tarif kalibrasi kami ditetapkan berdasarkan Peraturan Daerah Provinsi Lampung Nomor 4 Tahun 2024, karena kami merupakan instansi BLU UPTD di bawah Dinas Kesehatan Provinsi Lampung, sehingga tarif mengikuti ketentuan Penerimaan Negara Bukan Pajak (PNBP)/retribusi daerah yang berlaku."
data_riwayat_tren_kalibrasi,"Untuk ketersediaan data riwayat/tren kalibrasi per alat pada sistem kami saat ini, silakan konfirmasikan langsung kepada admin."
dokumen_form_pengajuan,"Menyertakan Surat Permintaan Kalibrasi dari Fasyankes, terdiri dari alat dengan jumlah serta surat yang sudah di tanda tangani oleh penanggung jawab"
dokumen_traceability_alat_standar,"Untuk permintaan dokumen pendukung traceability alat standar, silakan sampaikan permohonan tersebut kepada admin kami."
download_aplikasi_saibara,Aplikasi Saibara sudah tersedia dan bisa diunduh melalui Google Play Store (untuk pengguna Android) maupun Apple App Store (untuk pengguna iOS).
durasi_pengerjaan_kalibrasi,"Durasi pengerjaan bervariasi tergantung jenis dan kondisi alat. Untuk estimasi waktu yang lebih pasti sesuai alat yang Anda ajukan, silakan tanyakan langsung kepada admin pada tahap penjadwalan."
fitur_saibara,"Beberapa fitur utama Saibara antara lain: 1) Pembayaran retribusi online (termasuk biaya kalibrasi) tanpa harus datang ke kantor dinas, 2) Booking/pemesanan jadwal objek retribusi, 3) Riwayat dan monitoring transaksi termasuk cetak bukti bayar digital, dan 4) Sistem multi-role yang juga diakses oleh bendahara, koordinator, dan admin instansi untuk rekapitulasi pelaporan Pendapatan Asli Daerah (PAD)."
fungsi_instansi,"Fungsi instansi kami meliputi: (a) pengkoordinasian pelaksanaan tugas dan fungsi unsur organisasi; (b) penyelenggaraan tugas dan fungsi pelayanan pengujian dan kalibrasi alat kesehatan; (c) pembinaan, pengawasan, dan pengendalian pelaksanaan tugas dan fungsi unsur organisasi; dan (d) pelaksanaan urusan ketatausahaan."
halaman_artikel_pengumuman,"Informasi pengumuman dan berita terbaru, termasuk jadwal libur atau perubahan prosedur, dapat Anda baca pada halaman Artikel di website kami."
